שם פרויקט,מספר פרויקט,סטטוס
11/2015 א.ת אבשלום - הקמת מבנה שאיבה וגידור,311115,הסתיים
13/2015 א.ת.נ.ע.מ - פיתוח ומעגלי תנועה,311315,הסתיים
15/2015 א.ת.נ.ע.מ - שלב ג',311515,הסתיים
166494 מ.א שדות נגב - פיתוח ושידרוג א.ת שדות נגב,316494,הסתיים
1858/13 שמעה - מכון טיהור שפכים,311858,הסתיים
1865/14 א.ת קרית גת - שיקום רחובות אלול ותמוז,311865,הסתיים
1895/16 א.ת רהט - שילוט רחובות,311895,הסתיים
2 כיתות גן ילדים בגבעת  עדה,3895,הסתיים
200 יח'ד - הוד השרון – הכשרת הישוב,258,הסתיים
30/2013 א.ת.נ.ע.מ  - תחנת שאיבה,313013,הסתיים
"31 יח""ד בשכונת כבביר בחיפה",3874,הסתיים
50 תחנות מטרונית - הנדסה אזרחית,3936,הסתיים
7/2016 א.ת עמק שרה - שידרוג תשתיות בשלב ד',310616,הסתיים
72/2017 א.ת ירוחם - א.ת תעשיה קלה שלב ב' מזרחי,317217,הסתיים
85133-10 א.ת שגב שלום - שלב פיתוח מגרשים 134+13,315133,הסתיים
85210/15 א.ת ירוחם - השלמות פיתוח בא.ת קיים,315210,הסתיים
85309-17 צומת להבים - השלמת פיתוח,310001,הסתיים
85410/17 א.ת מצפה רמון -עבודות פיתוח ותשתיות שלב ב,315410,הסתיים
B2 בנין,238,הסתיים
G יבנה,679,הסתיים
G כפר סבא,545,הסתיים
G ראשון לציון,698,הסתיים
"G2 ראשל""צ",1129,הסתיים
IBM - פארק אזורים,274,הסתיים
IBM בנין,229,הסתיים
Time Tower,542,הסתיים
"TRIPLEC - פ""ת",328,הסתיים
UPS,480,הסתיים
W Tower,454,הסתיים
W פריים,657,הסתיים
YBOX,7049,הסתיים
"א א פאחם - ביה""ס",215,הסתיים
א א פאחם - שכונת בנה ביתך,201,הסתיים
א א פאחם - שכנת אל דהר,233,הסתיים
"א.ת גורן עבודות פיתוח, גינון והשלמת צמחיה - 4/202",306906,הסתיים
א.ת מעלות כביש חיבור א.ת לרח' חרושת,3154,הסתיים
"א.ת עילבון, זרזיר, עיכסל",3155,הסתיים
א.ת ערוער,5145,הסתיים
א.ת קצרין - עבודות פיתוח - 01/2021,306905,הסתיים
א.ת. אום אל פחם,3149,הסתיים
א.ת. אלון תבור ,3140,הסתיים
א.ת. בר לב,3142,הסתיים
א.ת. דלתון,3141,הסתיים
א.ת. חצור הגלילית,3203,הסתיים
א.ת. טבריה,3152,הסתיים
"א.ת. מג'אר, ירכא, ג'וליס, אבו סנאן",3150,הסתיים
א.ת. עילוט,3137,הסתיים
א.ת. עפולה,3146,הסתיים
א.ת. צ.ח.ר,3147,הסתיים
א.ת. קרית שמונה,3151,הסתיים
א.ת. שער הנגב,5167,הסתיים
א.ת.דיר חנא,3204,הסתיים
א.ת.כיסרא סמיע - פקיעין,3208,הסתיים
"א.ת.מעלות, כבישים 3,4,5,6",3189,הסתיים
א.ת.נצרת,3197,הסתיים
א.ת.קורן מעלות,3138,הסתיים
א.ת.שפרעם - כביש גישה דרומי,3210,הסתיים
אבא אבן 19,1021,הסתיים
אבגול - דימונה,5192,הסתיים
אבו סנאן - 515,30515,הסתיים
"אבו קרינאת - גינון, השקיה וקיר 08/2018",317219,הסתיים
אביב ממוזג,595,הסתיים
אבן  יהודה - חב' מישורים,195,הסתיים
אבן ספיר,234,הסתיים
אגד - ירושלים,244,הסתיים
אגד - מכללים,237,הסתיים
אגף קדמה (כנסת),4234,הסתיים
אדם מזרח,4352,הסתיים
אודיטורים בית התותחן,317,הסתיים
אולם ביתנו יפה נוף,3674,הסתיים
אולם ספורט - אום אל פאחם,3317,הסתיים
אולם ספורט אגמים - אשקלון,5128,הסתיים
"אולם ספורט בי""ס הבונים",3635,הסתיים
"אולם ספורט בי""ס הבונים - טיפול אקוסטי",3834,הסתיים
"אולם ספורט בי""ס שיזף",3634,הסתיים
אולם ספורט ביאנוח,3653,הסתיים
"אולם ספורט ביה""ס יגור",3665,הסתיים
"אולם ספורט ביה""ס עירוני א'",3654,הסתיים
אולם ספורט בית ספר אחווה - דימונה,5033,הסתיים
אולם ספורט בנופית,3818,הסתיים
אולם ספורט רמת אלון,3604,הסתיים
אולם ספורטוטו - מקיף ה' אשקלון,5089,הסתיים
אולם תצוגה - תל אביב,1046,הסתיים
אולם תצוגה לקסוס ירושלים,4365,הסתיים
אולם תצוגה מבנה דנילוף בטבריה,3997,הסתיים
אולמות שמחות,349,הסתיים
אום אל פאחם,179,הסתיים
אום אל פאחם - אולם ספורט,193,הסתיים
אום אל פאחם - אשכולות פיס,188,הסתיים
אום אל פאחם שכונת אל באטן,3330,הסתיים
"אום אל פחם - השלמת אז""ת 1865/14/11",30445,הסתיים
"אום בטין- ע""ע שלב א'  5-2020",317224,הסתיים
"אומדן עלויות – פיתוח שכונה כ""ג",3857,הסתיים
אונטוקולסקי,533,הסתיים
אוניברסיטת בר אילן - מבנה חינוך,516,הסתיים
אופוטושו תל אביב,939,הסתיים
אופקים - עבודות עפר בא.ת שקד,317220,הסתיים
אושן חדרה,3864,הסתיים
"אזה""ת רכבת בנימינה",3380,הסתיים
אזור תעשיה אופקים,5066,הסתיים
אזור תעשיה שוהם,3766,הסתיים
אחוזת בית,579,הסתיים
אחוזת גני העיר,3632,הסתיים
אחזקה כוללת מרחב צפון,3924,הסתיים
אחזקת שבר כביש 4,3860,הסתיים
אחיסמך - דיור למעשה,722,הסתיים
אחיסמך - ועד הדיור,652,הסתיים
"אחיסמך - תב""ע",757,הסתיים
"איינשטיין תב""ע מחוזית",523,הסתיים
איכילוב - מעונות צוות,7074,הסתיים
אין פרויקט,212,הסתיים
איקאה,468,הסתיים
איקאה נתניה,697,הסתיים
אלון תבור - השלמת עבודות פיתוח 39/2013,30421,הסתיים
"אלון תבור - קיר תומך מדרון, כבישים ופיתוח 2/2016",30524,הסתיים
"אלוני ים - תב""ע",937,הסתיים
אליפלט,888,הסתיים
אלישרא חולון,760,הסתיים
אלנבי 115,746,הסתיים
אלנבי 120,637,הסתיים
"אלנבי 74 ת""א מגורים ומסחר",395,הסתיים
אלעד מזור – ערים,118,הסתיים
אלעד שלב ב' – משהב'ש,156,הסתיים
אלקו רמת השרון,378,הסתיים
אלרם,265,הסתיים
אם סיסטמס,515,הסתיים
אמדן ראשוני א.ת. שהם,3822,הסתיים
אמדנים,3757,הסתיים
אמדנים לפרויקטים,3737,הסתיים
אמות אטריום,563,הסתיים
אמות קרית אריה,549,הסתיים
אמירי זכרון,3702,הסתיים
אמישראגז,123,הסתיים
אסותא,748,הסתיים
אפלייד B ייצור,334,הסתיים
ארלוזרוב 17,707,הסתיים
ארמון ההגמון,387,הסתיים
ארנסט אנד יאנג,837,הסתיים
"אשדוד - 146 י'""ד - שיכון עובדים",207,הסתיים
אשדוד - 170 יחי'ד,164,הסתיים
"אשדוד - 50 יח""ד ",168,הסתיים
אשדוד - בית אבות,186,הסתיים
אשדוד - נווה השמש,165,הסתיים
אשדוד - עיריה,113,הסתיים
אשדוד י',106,הסתיים
אשדוד כביש 3922,693,הסתיים
אשכולות פיס - אום אל פאחם,3314,הסתיים
באר אורה,625,הסתיים
"באר יעקב - פיתוח 200 יח""ד",199,הסתיים
באר יעקב - שיפוצים,202,הסתיים
בדיקת חשבונות ביצוע שיפוצים - משרד החינוך,4354,הסתיים
בדיקת מבנה יהלום,514,הסתיים
"בה""ס גיל",3695,הסתיים
בודפשט ,4306,הסתיים
בוטיק הנביאים ירושלים,7012,הסתיים
בועיינה נוג'ידאת 688/502,3153,הסתיים
בורסת היהלומים,490,הסתיים
בוררות רם שם/אגרוטופ,5124,הסתיים
בזלת טבריה,478,הסתיים
"בי""ח באר יעקב",136,הסתיים
"בי""ח נס ציונה",137,הסתיים
"בי""ח נס ציונה - בי'ס",220,הסתיים
"בי""ח נס ציונה - מח' ילדים",182,הסתיים
"בי""ח נס ציונה - תכנית אב",194,הסתיים
"בי""ס  אזורי יגור  - בנין",3199,הסתיים
"בי""ס אבן חלדון - רהט",5094,הסתיים
"בי""ס אזורי יגור - עבודות מ""א",3200,הסתיים
"בי""ס איזורי יגור - בניין C",3608,הסתיים
"בי""ס אלמוטנבי - יפה נוף",3627,הסתיים
"בי""ס אשכולות בנימינה",3383,הסתיים
"בי""ס באיבטין",3866,הסתיים
"בי""ס הגליל בנהריה",3720,הסתיים
"בי""ס הדר המושבות פ""ת",431,הסתיים
"בי""ס החיטה בזכרון יעקב",3725,הסתיים
"בי""ס זרעוניה בבנימינה",3424,הסתיים
"בי""ס יאנוח בי""ס יסודי",3643,הסתיים
"בי""ס יסודי - מעגן מיכאל",3791,הסתיים
"בי""ס יסודי בקיסריה",3852,הסתיים
"בי""ס כרמל - הנגשה אקוסטי",3869,הסתיים
"בי""ס כרמל - כיתה יבולה",3871,הסתיים
"בי""ס כרמל - כיתת מב""ר",3870,הסתיים
"בי""ס כרמל - קפיטריה",3188,הסתיים
"בי""ס מעגנים",3827,הסתיים
"בי""ס נוה פרדסים - פ""ח",3343,הסתיים
"בי""ס נווה פרדסים - חכ""ל פרדס חנה",211,הסתיים
"בי""ס נופים - תוספת כיתה",3793,הסתיים
"בי""ס נופים - תוספת כיתה שניה",3821,הסתיים
"בי""ס נופית - הנגשה אקוסטי",3872,הסתיים
"בי""ס ניל""י בזכרון יעקב",3726,הסתיים
"בי""ס ניצני זבולון",3858,הסתיים
"בי""ס עופר (יפה נוף)",3675,הסתיים
"בי""ס עין ג'ראר - א.א פחם",3347,הסתיים
"בי""ס פרחי הדר - חכ""ל פרדס חנה",210,הסתיים
"בי""ס קישון  ברמת דוד",3201,הסתיים
"בי""ס קציר - תוס' + מועדון כושר",3311,הסתיים
"בי""ס תל חי בניין חדש",3620,הסתיים
ביג - אמריקן איגל,5093,הסתיים
ביג באר-שבע,5061,הסתיים
ביג בנצרת,3709,הסתיים
ביג טבריה,3888,הסתיים
ביג נצרת שלב ב',3939,הסתיים
ביג סיטונאות חשמל,3833,הסתיים
ביג קרית גת,5005,הסתיים
ביג רגבה,3786,הסתיים
"ביה""ס אורט שומרון",3387,הסתיים
"ביה""ס בהושעיה",3636,הסתיים
"ביה""ס בנופית - שיפוץ",3622,הסתיים
"ביה""ס בשמשית",3640,הסתיים
"ביה""ס גבע",3953,הסתיים
"ביה""ס גינגר",3697,הסתיים
"ביה""ס הדר - פ""ת",539,הסתיים
"ביה""ס הפתוח בנווה שאנן - תוספת אגף",3989,הסתיים
"ביה""ס חב""ד בנצרת עילית",3922,הסתיים
"ביה""ס חינוך מיוחד קישון בקיבוץ רמת דוד",3656,הסתיים
"ביה""ס יאנוח חטיבה ב'",3650,הסתיים
"ביה""ס יבנה",3759,הסתיים
"ביה""ס יבנה - איטום פרמידות",3820,הסתיים
"ביה""ס ממ""ד קרית שמואל  ח.10700/18",3911,הסתיים
"ביה""ס מנשיה זבדה, שלב ב'",3666,הסתיים
"ביה""ס קורצ'אק",3610,הסתיים
"ביה""ס רמת אלון - שלב ג'",3704,הסתיים
"ביה""ס שלווה",3615,הסתיים
"ביה""ס תל חי חידוש",3611,הסתיים
"ביה""ס תל-חי מחונות העולים",3701,הסתיים
ביופארם ציפורית,1051,הסתיים
בי'ח נס ציונה - אוטיסטים,144,הסתיים
"ביכורים 17, חיפה",3804,הסתיים
ביקל רעננה,1040,הסתיים
בית אבוחצירא,5163,הסתיים
בית אבות מתחם פיק,388,הסתיים
בית אמירה,3794,הסתיים
בית אשל - מרכז מסחרי,5030,הסתיים
בית בלב - דיור מוגן ,7025,הסתיים
בית גוטסמן,135,הסתיים
בית גזית שחם,7023,הסתיים
בית האיכרים,530,הסתיים
בית הכנסת הגדול,3760,הסתיים
בית הכרם,3420,הסתיים
בית הכרם ש/576 (בנימינה),3410,הסתיים
בית המילניום,566,הסתיים
"בית המשפט ת""א",421,הסתיים
בית הצדף – יפו,173,הסתיים
בית השנטי,663,הסתיים
בית טובי העיר ירושלים,894,הסתיים
בית טלקאר,567,הסתיים
"בית יד לבנים פ""ח",3355,הסתיים
בית כהן - צומת גהה,222,הסתיים
בית כלל,772,הסתיים
בית כנסת ומקווה - רמת בית הכרם,4324,הסתיים
בית כנסת כרמים,5136,הסתיים
בית לחם הגלילית,3658,הסתיים
בית לקסוס פתח תקוה,818,הסתיים
בית מיטרלי,769,הסתיים
בית מלאכה,3815,הסתיים
בית מנורה,708,הסתיים
בית מנורה מדידת כמויות,7009,הסתיים
בית מנורה תאום מערכות,7008,הסתיים
בית מנצור,874,הסתיים
בית משפט,3672,הסתיים
בית נועם,787,הסתיים
"בית ניר פ""ת",439,הסתיים
בית ספר גבריאלי - פיתוח,3813,הסתיים
בית ספר זרעוניה - תוספת כיתה,3810,הסתיים
בית ספר למשחק - תאטרון אפיקים,5031,הסתיים
"בית ספר עמ""י - בנית אולם",3812,הסתיים
בית ספר צין - קרית חינוך שדה בוקר,5028,הסתיים
בית עזרא ,310,הסתיים
"בית עלמין ""מנוחה נכונה"" בקריית טבעון",3969,הסתיים
בית עלמין משגב,3768,הסתיים
בית עלמין נהריה,3799,הסתיים
בית קריסטל - בית קפה בלובי,835,הסתיים
בית קריסטל - הוספת יחידות אל-פסק וגיבוי,813,הסתיים
בית קריסטל - החלפת צ'ילרים,791,הסתיים
בית קריסטל - הנגשה,789,הסתיים
בית קריסטל - חיזוק גלריה,794,הסתיים
בית קריסטל - עבודות גמר בשטחי שוכרים,795,הסתיים
בית קריסטל - עבודות גמר בשטחים ציבוריים,790,הסתיים
בית קריסטל - פיתוח חוץ,847,הסתיים
בית קריסטל - שדרוג חניון,792,הסתיים
בית קריסטל - שדרוג מעליות,793,הסתיים
בית קריסטל - שיפוץ חדרי שירותים בקומות קיימות,788,הסתיים
בית קריסטל - שערים חשמליים בלוביים,823,הסתיים
בית קריסטל - תאורת חוץ,846,הסתיים
בית קריסטל - תוספת קומות,636,הסתיים
בית קריקטוריסטים - חולון,459,הסתיים
בית ראשונים,1104,הסתיים
"בית רם פ""ת",503,הסתיים
"בית רשות העתיקות - הרל""י",297,הסתיים
בית שאן - מרכז יום לקשיש,3733,הסתיים
"בית שמש 40 יח""ד",4363,הסתיים
בית שערים מועדון,3667,הסתיים
בניין כלל A,4220,הסתיים
בניין עיריה טירת הכרמל,3641,הסתיים
בניין עירית אום אל פחם,3376,הסתיים
בניית אשכול גנים ומבנה טיפת חלב בשכונת בנימין,3986,הסתיים
בנימינה,3425,הסתיים
"בנימינה - ביה""ס אמירים שלב ג'",3900,הסתיים
בנימינה גן מועדון להבה,3409,הסתיים
"בנין הסתדרות  - ת""א",183,הסתיים
בנין מבקר המדינה ירושלים,732,הסתיים
בנין שחם - שסטוביץ,228,הסתיים
בנית חדרי טרפו,3781,הסתיים
בנק החקלאות,702,הסתיים
בנק הספנות,108,הסתיים
בנק חקלאות מגורים,987,הסתיים
בנק רוטשילד,597,הסתיים
בעלי המלאכה,956,הסתיים
בקרת גשרים,554,הסתיים
"בר כוכבא - פ""ת",346,הסתיים
בר כוכבא 12,882,הסתיים
ברגרקינג עפולה,3802,הסתיים
ברכת בשמשית,3692,הסתיים
בתי ספר - חב' למשק וכלכלה,142,הסתיים
בתי ספר - עבודות מיזוג אויר,3780,הסתיים
"בתי ספר שילה + מרחבים פ""ח",3340,הסתיים
בתי קולנוע מודיעין,460,הסתיים
גב ים,134,הסתיים
גב ים חולון,526,הסתיים
"גבעת האנטנה 216 יח""ד",4335,הסתיים
"גבעת האנטנה 216 יח""ד- מסירות",6335,הסתיים
גבעת הארמון נצרת,3678,הסתיים
גבעת הפועל - בנימינה,3405,הסתיים
גבעת התחמושת,4318,הסתיים
גבעת עדה,3421,הסתיים
גבעת פרדיס,3359,הסתיים
"גבעת שאול 70 יח""ד",4292,הסתיים
גבעתיים סיטי,520,הסתיים
גבעתיים סיטי בנין 2,650,הסתיים
גדר הפרדה - משרד הביטחון,379,הסתיים
גולדן מארקט קניון הזהב,890,הסתיים
ג'ורדן ואלי,3862,הסתיים
גורן - 458,30458,הסתיים
גזית אחד ראשלצ,942,הסתיים
גל-ים,623,הסתיים
גן החלומות ,1050,הסתיים
גן העיר,5098,הסתיים
גן חובה בנופית,3873,הסתיים
גן ילדים איבטין,3681,הסתיים
גן ילדים איבטין,3785,הסתיים
גן ילדים ביאנוח שלב ב' חלקה 103,3657,הסתיים
גן ילדים בעין הוד,3847,הסתיים
גן ילדים ברכסים צוהר לטוהר,3942,הסתיים
גן ילדים גבעת עדה,3392,הסתיים
גן ילדים דו כיתתי - דימונה,5043,הסתיים
גן ילדים זרעוניה,3419,הסתיים
גן ילדים חוואלד,3696,הסתיים
גן ילדים חרמון - יקנעם,3169,הסתיים
גן ילדים יאנוח,3648,הסתיים
גן ילדים יאנוח שלב ב' שכונת חיילים משוחררים,3664,הסתיים
גן ילדים מנשיה זאבדה,3659,הסתיים
גן ילדים נופית,3612,הסתיים
גן ילדים שמשית,3660,הסתיים
גן ילדים תלת כיתתי יקנעם,3732,הסתיים
גן מרכזי רמת חן,3769,הסתיים
"גנ""י יפה נוף - פ""ח",3341,הסתיים
"גנדן  - פ""ת 2003/4",352,הסתיים
"גנדן נדל""ן - כללי",280,הסתיים
גנדן נדלן -  רעננה מגרש מערב',313,הסתיים
גנדן נדלן - רעננה מגרש מזרחי,296,הסתיים
גני אלכסנדר,5079,הסתיים
גני בנימינה,3403,הסתיים
גני טל - מ מ בני עייש,130,הסתיים
"גני ילדים ""נסאו""",3751,הסתיים
גני ילדים באר שבע,5125,הסתיים
גני תקוה - מרכז ספורט,469,הסתיים
גני תקוה מגרש 1,797,הסתיים
גני תקווה - הסכם פיתוח,293,הסתיים
גפן קרסו  פתח תקווה,1020,הסתיים
גשר 129 רכבת ישראל,1031,הסתיים
"גשר בי""ס דינור",3828,הסתיים
גשר השלושה,755,הסתיים
גשר יד לבנים,3624,הסתיים
"גשר מעבר ב""ס יבנה",3689,הסתיים
גשר רושמייה,3669,הסתיים
דג'ורנו סנטר - מתחם בית אשל,5114,הסתיים
"דגניה הנשיא, כרכור",3384,הסתיים
דוברת כרמיאל,3727,הסתיים
דיור להשכרה - הרצליה,833,הסתיים
דיור מוגן - קומה תומכת,5060,הסתיים
דירות מאייר,878,הסתיים
"דליית אל כרמל - פיתוח אז""ת קיים 1136/2016",306887,הסתיים
"דלתון - השלמת פיתוח + ת""ש מרכזית לביוב 8231/14",30439,הסתיים
דפנה - ארלוזורוב,582,הסתיים
דפנה - נווה גד,884,הסתיים
האוזנר 3,991,הסתיים
האנגר בנשר,3831,הסתיים
האנגר בנשר,3832,הסתיים
האנגר תעשייה אווירית דרום,5195,הסתיים
האנגר תעשייה אווירית דרום - תקציב יועצים,5196,הסתיים
הגדוד העברי - ברודצקי ק. חיים,3863,הסתיים
הגן הטכנולוגי - מנורה,849,הסתיים
הדסה - הר הצופים,4294,הסתיים
הדסה - עין כרם,437,הסתיים
הדסה - עין כרם,4302,הסתיים
הדסה הר הצופים - אורטופדיה,409,הסתיים
הדסה הר הצופים - אישפוז יום ילדים,411,הסתיים
הדסה הר הצופים - פגיה + מעבדות,410,הסתיים
הדסה הר הצופים- הוספיס,408,הסתיים
"הוד השרון 1,200",449,הסתיים
הוד השרון 205,777,הסתיים
הוד השרון מגרש 101,875,הסתיים
הוד השרון מגרש 202,736,הסתיים
"הוצל""פ אשקלון",5085,הסתיים
הושעיה שלב ה',3639,הסתיים
"החלפת גג אסבסט ביה""ס ניצני זבולון",3920,הסתיים
היי פארק – עפולה,3903,הסתיים
"הלמ""ס",602,הסתיים
המבואה המזרחית,5090,הסתיים
המנופים 6 הרצליה,935,הסתיים
המסגר 30,659,הסתיים
הנגשת תחנת אוטובוס - רהט,5105,הסתיים
"הסדרת כביש 6403 ק""מ 16-19",3938,הסתיים
הסדרת מדרכות כפר ביאליק,3662,הסתיים
הסרת סכנה במבנים,3717,הסתיים
הפרדה מפלסית 722,3891,הסתיים
הקמת מגרש ספורט משולב בנימינה,3389,הסתיים
הקמת מפעל מטס בתרדיון,3978,הסתיים
הר חומה,326,הסתיים
הר חומה ,277,הסתיים
הר חומה - שלב ג',381,הסתיים
הר חומה - שלב ד' וכביש מחדר,382,הסתיים
הר חומה מוסדות ציבור,267,הסתיים
הר חוצבים - י-ם,358,הסתיים
הר טוב 60 - ביצוע,1115,הסתיים
הראל עבודות קטנות,619,הסתיים
הרחבה - קיבוץ שובל,5109,הסתיים
הרחבה בעין יהב,5077,הסתיים
הרחבה ניר דוד,3713,הסתיים
הרחבת כביש גבעת עדה,3417,הסתיים
"הרחבת כביש מס' 77 - מע""צ",3722,הסתיים
הרחבת מושב הבונים,3772,הסתיים
הרחבת מפעל דולב,5036,הסתיים
הרחבת מפעל דולב 2,5032,הסתיים
הרחבת מפעל דולב 3,5082,הסתיים
הרחבת מתחם וואן פלאזה,5078,הסתיים
הרחבת קיבוץ בית רימון,3715,הסתיים
הרחבת קיבוץ כרמים - תשתיות,5100,הסתיים
הרחבת קיבוץ ניצנים - תשתיות,5073,הסתיים
הרחבת קמטק,3743,הסתיים
הרחבת קניון גזית כפר סבא,995,הסתיים
הרצליה - מטווח,115,הסתיים
הרצליה - מרכז התחבורה ,227,הסתיים
השדרה השביעית,457,הסתיים
"השלמת חוו""ד בתיק עת""מ 4033/07",3902,הסתיים
השלמת כביש כניסה  1002/2013,30424,הסתיים
ואדי מילק,3416,הסתיים
ואדי ניסנס,3619,הסתיים
ואדי סאליב – רובע אומנים,3880,הסתיים
וילה דורי,7003,הסתיים
